2023/10/30 - 19:54:30 | Host: 127.0.0.1 | Method: GET | Route: /products | Status: 200 | Latency: 2.732589ms | Body Size: 442
2023/10/30 - 19:54:52 | Host: 127.0.0.1 | Method: POST | Route: /product | Status: 404 | Latency: 34.689µs | Body Size: -1
2023/10/30 - 19:56:24 | Host: 127.0.0.1 | Method: POST | Route: /product | Status: 404 | Latency: 20.597µs | Body Size: -1
2023/10/30 - 19:56:54 | Host: 127.0.0.1 | Method: POST | Route: /products | Status: 200 | Latency: 7.023582ms | Body Size: 230
2023/10/30 - 19:58:12 | Host: 127.0.0.1 | Method: POST | Route: /products | Status: 200 | Latency: 4.427068ms | Body Size: 232
2023/10/30 - 19:58:18 | Host: 127.0.0.1 | Method: GET | Route: /products | Status: 200 | Latency: 2.158981ms | Body Size: 876
2023/10/30 - 19:59:17 | Host: 127.0.0.1 | Method: GET | Route: /products | Status: 200 | Latency: 1.825712ms | Body Size: 658
2023/10/30 - 19:59:21 | Host: 127.0.0.1 | Method: GET | Route: /products | Status: 200 | Latency: 3.389122ms | Body Size: 658
2023/10/30 - 20:11:23 | Host: 127.0.0.1 | Method: GET | Route: /products/1 | Status: 200 | Latency: 2.281091ms | Body Size: 224
2023/10/30 - 20:48:06 | Host: 127.0.0.1 | Method: GET | Route: /products | Status: 200 | Latency: 3.667215ms | Body Size: 658
2023/10/30 - 20:49:26 | Host: 127.0.0.1 | Method: GET | Route: /products/1 | Status: 200 | Latency: 7.468032ms | Body Size: 224
2023/10/30 - 20:49:30 | Host: 127.0.0.1 | Method: GET | Route: /products/2 | Status: 200 | Latency: 1.873038ms | Body Size: 224
2023/10/30 - 20:51:21 | Host: 127.0.0.1 | Method: POST | Route: /products | Status: 200 | Latency: 6.389387ms | Body Size: 250
2023/10/30 - 20:53:43 | Host: 127.0.0.1 | Method: POST | Route: /products | Status: 200 | Latency: 4.796452ms | Body Size: 251
2023/10/30 - 20:53:47 | Host: 127.0.0.1 | Method: GET | Route: /products | Status: 200 | Latency: 3.27629ms | Body Size: 1131
2023/10/30 - 20:55:52 | Host: 127.0.0.1 | Method: POST | Route: /products | Status: 200 | Latency: 6.77432ms | Body Size: 248
2023/10/30 - 20:57:02 | Host: 127.0.0.1 | Method: POST | Route: /products | Status: 400 | Latency: 999.769µs | Body Size: 91
2023/10/30 - 20:57:24 | Host: 127.0.0.1 | Method: GET | Route: /products | Status: 200 | Latency: 2.868627ms | Body Size: 1363
